class,name,coverage,polarity,failed,border_std
80%,citra8.jpg,0.23417570153061223,dark,False,29.855537531945462
80%,citra80.jpg,0.3143335459183674,dark,False,37.988574372052284
80%,citra81.jpg,0.3086535395408163,dark,False,37.94093080826795
80%,citra82.jpg,0.3082948022959184,dark,False,37.90862719444494
80%,citra83.jpg,0.6622887436224489,dark,False,30.44112185849598
80%,citra84.jpg,0.6636838329081632,dark,False,30.347672264407123
80%,citra85.jpg,0.6684869260204082,dark,False,30.320377737417378
80%,citra86.jpg,0.6708785076530612,dark,False,30.256715773168978
80%,citra87.jpg,0.6681680484693877,dark,False,30.264734114133276
80%,citra88.jpg,0.26401068239795916,dark,False,27.838276966072268
80%,citra89.jpg,0.6711575255102041,dark,False,30.24858618980787
80%,citra9.jpg,0.7054169323979592,dark,False,47.0106085096877
80%,citra90.jpg,0.6711575255102041,dark,False,30.221554979602143
80%,citra91.jpg,0.6729512117346939,dark,False,30.212443587432315
80%,citra92.jpg,0.7066127232142857,dark,False,28.265773217165314
80%,citra93.jpg,0.711296237244898,dark,False,28.147334957600517
80%,citra94.jpg,0.7085658482142857,dark,False,28.029862122546707
80%,citra95.jpg,0.39514907525510207,dark,False,27.96382198187706
80%,citra96.jpg,0.7174744897959183,dark,False,27.926851777871864
80%,citra97.jpg,0.701530612244898,dark,False,55.338665476142005
80%,citra98.jpg,0.6862244897959183,dark,False,55.42994696495972
80%,citra99.jpg,0.7002351721938775,dark,False,55.52723029257586
100%,citra1.jpeg,0.6697624362244898,dark,False,56.364351024667165
100%,citra10.jpg,0.5386838329081632,dark,False,88.73054879539984
100%,citra100.jpg,0.7171356823979592,dark,False,44.029838188340385
100%,citra11.jpg,0.6240035076530612,dark,False,62.10235256425572
100%,citra12.jpg,0.6261360012755102,dark,False,62.10851039025848
100%,citra13.jpg,0.625617825255102,dark,False,62.09172231215376
100%,citra14.jpg,0.6259964923469388,dark,False,62.0908439446718
100%,citra15.jpg,0.6242625956632653,dark,False,62.08873108221464
100%,citra16.jpg,0.6243423150510204,dark,False,62.08357126130121
100%,citra17.jpg,0.6260562818877551,dark,False,62.07566345556571
100%,citra18.jpg,0.20186941964285715,dark,False,20.337130011726206
100%,citra19.jpg,0.21520248724489796,dark,False,20.34787027823273
100%,citra2.jpeg,0.6702208227040817,dark,False,56.35906924130604
100%,citra20.jpg,0.19989636479591838,dark,False,20.348911142302505
100%,citra21.jpg,0.5554448341836735,dark,False,3.6265812632004235
100%,citra22.jpg,0.3110451211734694,dark,False,37.469508674082526
100%,citra23.jpg,0.3076769770408163,dark,False,37.416954158953025
100%,citra24.jpg,0.27720424107142855,dark,False,37.36569181420701
100%,citra25.jpg,0.3136360012755102,dark,False,37.30405149068497
100%,citra26.jpg,0.39522879464285715,dark,False,44.90062551133184
100%,citra27.jpg,0.3881736288265306,dark,False,44.79493278520408
100%,citra28.jpg,0.38789461096938777,dark,False,44.68462150356104
